candidate_id,word,review_flag,candidate_source,df_total,neg_count,neu_count,pos_count,pmi_neg,pmi_neu,pmi_pos,delta_pmi_pos_minus_neg,fisher_odds_ratio,fisher_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_excludes_zero,direction,direction_stability,dominant_share,wilson_lower,wilson_upper,score_minus9_to9,bh_adjusted_p_value,survives_fdr,statistical_keep,statistical_reject_reasons
C001,vana,,deterministic,585,350,114,121,0.30002641362801574,0.104012104748612,-0.6782480800886814,-0.9782744937166972,0.48233724592041227,3.1140095271769e-12,-1.2709118171550084,-0.7093220657598114,True,NEG,1.0,0.5982905982905983,0.5580473007876305,0.6372514477589086,-4,1.4698124968274967e-09,True,True,
C002,propertybookzw,,deterministic,36,2,3,31,-2.8276153238740473,-0.9241359596695293,1.3779201414266522,4.2055354653006995,22.95918762088975,1.2692417835158754e-10,2.8841259706956484,6.789100434021555,True,POS,1.0,0.8611111111111112,0.713404696106438,0.9391818499086717,7,2.995410609097466e-08,True,True,
C003,uyu,suspected_non_content_seed,deterministic,718,399,147,172,0.1934884865892479,0.17406047494475052,-0.4679270179850521,-0.6614155045743,0.6053431450967846,7.662421844454161e-08,-0.9111466748897935,-0.4082464261935532,True,NEG,1.0,0.5557103064066853,0.519164577999311,0.5916630823164317,-3,1.2055543701941214e-05,True,True,
C004,yekuroja,,deterministic,14,0,1,13,-3.8176998550089642,-0.8146848172535321,1.4873712838426494,5.305071138851614,inf,7.941981250091876e-06,4.271468885779811,5.9209441650415044,True,POS,1.0,0.9285714285714286,0.6853129557584889,0.9872777847521093,8,0.0007497230300086732,True,True,
C005,redmarketsunday,,deterministic,13,0,0,13,-3.7146063620448597,-2.2965538250105855,1.590464776806754,5.305071138851614,inf,7.941981250091876e-06,4.406599495918407,5.924234794835591,True,POS,1.0,1.0,0.7719046276458016,0.9999999999999999,9,0.0007497230300086732,True,True,
C006,yekurara,,deterministic,15,0,3,12,-3.9139151702682664,0.31149228882361335,1.2801246561946034,5.19403982646287,inf,1.9626209425630268e-05,4.214707492262471,5.854794019174484,True,POS,1.0,0.8,0.5481455128483065,0.9295245065301844,7,0.0015439284748162477,True,True,
C007,kutengeswa,,deterministic,11,0,0,11,-3.4832808159384054,-2.065228278904131,1.590464776806753,5.0737455927451585,inf,4.848916846961859e-05,3.988773708225293,5.776231942569026,True,POS,1.0,1.0,0.7411670330319684,1.0,9,0.003269555359665711,True,True,
C008,ndinoda,,deterministic,14,1,1,12,-2.232737354287808,-0.8146848172535321,1.3763399714539055,3.6090773257417137,17.649769585253456,0.00015983694753209102,1.9159638652586255,5.670138859371075,True,POS,1.0,0.8571428571428571,0.6005862050302965,0.9599060787285351,7,0.00943037990439337,True,True,
C009,imi,suspected_non_content_seed,deterministic,132,84,21,27,0.3913120269502306,-0.16525011759558073,-0.6780240591191493,-1.06933608606938,0.4651961595762291,0.0004016024718535942,-1.7772169564971176,-0.4880513892291198,True,NEG,0.9995,0.6363636363636364,0.5515211883191461,0.7134936334630516,-4,0.021061818523877385,True,True,
C010,imimi,,deterministic,27,20,6,1,0.6164734312120315,0.37741368176931545,-2.605932435996751,-3.2224058672087823,0.072868068833652,0.0004570330210968896,-5.237460198051974,-1.655408020478456,True,NEG,1.0,0.7407407407407407,0.5532142868544692,0.8682962543809281,-6,0.02157195859577319,True,True,
