role,file,rows,sha256
experimental_frozen_lexicon,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/FrenchyShona_V2_v7_4_frozen.csv,6620,0cbfba6ea4c3e1bd84bc1fed31c364ab899e9c6a8e68314e10825bc070e74380
build,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/audit/train_build_for_lexicon.csv,7880,a3d9ca14798593ba8391af9a9a6ac9f5d55303ef174e5bd19d6dab96b9be8b24
validation,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/audit/train_validation_for_thresholds.csv,876,9a7a31c00cbb1bfdd369e6d06c1e68980b7faa5174884a9b88e70fec7c9f249c
test,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/audit/test_strict_unseen.csv,1224,055e52cded861127a566a93662f64ac5e8b65014437a79524afa3a4881ecc606
validation_lexical_saved,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/evaluation/validation_lexicon_predictions.csv,876,449ce16f8058aeb3b5c4ef5c3428240b4c471fe34be6c69f40ac437a2d656a3c
test_lexical_saved,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/evaluation/strict_test_lexicon_predictions.csv,1224,545b07ea0ee80a3e4df85ba358006083a51cfa634d731a8c54dc62beef96999f
threshold_grid,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/evaluation/validation_lexical_threshold_grid.csv,666,76c08b6caeaebb81b4cdbba116b2b85ec490d88cf03a0d8b9e9e669f97534fa7
lexicon_metrics_saved,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/evaluation/lexicon_only_metrics_strict_test.csv,2,5fc2843e2c0661f7a68f35d7bac3040d41d0b0f6d2c9fa0d022d702588b19f92
classical_metrics_v7_4,/kaggle/input/datasets/takachats/frenchyshona-v2-v7-2-results/FrenchyShona_V2_RAG_Complete_V7_4/evaluation/classical_baseline_metrics_strict_test.csv,3,b6ddc784f8eeed1dc82dad7141d8977dc621bac376d96fe77f298521aaf6b409
multilingual_release,/kaggle/input/datasets/takachats/frenchyshona-v2-part1b/FrenchyShona_V2_Part1B_Fresh_Multilingual_Enrichment/FrenchyShona_V2_v7_4_multilingual_release.csv,6620,29b12603ce20909cec029c2c9da83feb8263450e47b3ca0f7f2896bd1c66fc8f
multilingual_release_core13,/kaggle/input/datasets/takachats/frenchyshona-v2-part1b/FrenchyShona_V2_Part1B_Fresh_Multilingual_Enrichment/FrenchyShona_V2_v7_4_multilingual_release_core13.csv,6620,b1137eebc77b9dc75042e8b00109198e55808a1f43d8b2e975a7badb25ea64d9
part2_gate,/kaggle/input/datasets/takachats/frenchyshona-v2-part1b/FrenchyShona_V2_Part1B_Fresh_Multilingual_Enrichment/PART2_START_GATE.csv,1,5a579c684ceee95c679a6ca9c07f9258307fbe4428180ebcd9391c63d60c1202
public_release_gate,/kaggle/input/datasets/takachats/frenchyshona-v2-part1b/FrenchyShona_V2_Part1B_Fresh_Multilingual_Enrichment/MULTILINGUAL_PUBLIC_RELEASE_GATE.csv,1,7f781132f735b41754e5ea2245938c3eba2f02e84a43fec80fdd5fdc4376edcc
checksums,/kaggle/input/datasets/takachats/frenchyshona-v2-part1b/FrenchyShona_V2_Part1B_Fresh_Multilingual_Enrichment/output_checksums.csv,25,4a60d2dcc1e87d0ccf72ed778c662ad9784da67737f1654ba9eaf6a0f2bf22d3
