column,allowed_to_change,identical_to_frozen
CILUBA,True,False
French,True,False
Score,False,True
Sentiment,False,True
Nature,True,False
English,True,False
Zulu,True,False
Afrikaans,True,False
Sepedi,True,False
Xhosa,True,False
Shona,False,True
expanded_shona_class,False,True
expanded_shona,False,True
v2_provenance,False,True
v2_candidate_id,False,True
v2_validation_status,False,True
v2_validation_design,False,True
v2_sentiment_basis,False,True
v2_lexical_sentiment,False,True
v2_corpus_association,False,True
v2_researcher_word_type,False,True
v2_researcher_meaning,False,True
v2_researcher_confidence,False,True
v2_training_support,False,True
v2_candidate_source,False,True
v2_contextual_model,False,True
v2_contextual_valid_shona,False,True
v2_contextual_word_type,False,True
v2_contextual_lexical_sentiment,False,True
v2_contextual_corpus_association,False,True
v2_contextual_confidence,False,True
v2_contextual_status,False,True
v2_contextual_reason,False,True
v2_evidence_disagreement,False,True
v2_final_decision_rule_version,False,True
v2_bh_adjusted_p_value,False,True
v2_bootstrap_ci_low,False,True
v2_bootstrap_ci_high,False,True
