token,count,document_support,original_noise_reason,contextual_lexical_class,contextual_word_type,contextual_english_meaning,contextual_confidence,contextual_reason,recovered_as_shona_content,assessment_model,assessment_prompt_version
here,503,481,english_frequency,uncertain,particle,,0.5,,False,gpt-5-mini,candidate_language_screen_v1
harare,459,434,english_frequency,name_place_or_brand,place,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
the,443,375,english_frequency,english_or_code_switch,function,,0.99,,False,gpt-5-mini,candidate_language_screen_v1
and,411,373,english_frequency,english_or_code_switch,conjunction,,0.99,,False,gpt-5-mini,candidate_language_screen_v1
mai,291,276,english_frequency,shona_content,noun,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
but,285,273,english_frequency,english_or_code_switch,conjunction,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
haa,281,264,english_frequency,shona_noncontent,interjection,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
you,251,227,english_frequency,english_or_code_switch,pronoun,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
apa,214,206,english_frequency,shona_noncontent,deictic,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ari,219,204,english_frequency,shona_noncontent,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ava,191,185,english_frequency,shona_noncontent,demonstrative,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
pane,195,184,english_frequency,shona_content,verb,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
zimbabwe,201,180,english_frequency,name_place_or_brand,place,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
for,185,177,english_frequency,english_or_code_switch,preposition,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
iri,187,170,english_frequency,shona_noncontent,demonstrative,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
vane,164,156,english_frequency,shona_content,verb,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
not,157,144,english_frequency,english_or_code_switch,particle,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
this,136,132,english_frequency,english_or_code_switch,demonstrative,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
that,130,123,english_frequency,english_or_code_switch,demonstrative,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
are,125,121,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
uri,124,116,english_frequency,shona_noncontent,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
zanu,108,96,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
dai,93,84,english_frequency,shona_noncontent,particle,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
was,92,84,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
apo,84,82,english_frequency,shona_content,deictic,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
jah,90,80,english_frequency,english_or_code_switch,interjection,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
coz,80,78,english_frequency,english_or_code_switch,conjunction,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
one,80,77,english_frequency,english_or_code_switch,pronoun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
then,79,75,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ine,76,72,english_frequency,shona_content,verb,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
even,71,70,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
usd,75,70,english_frequency,name_place_or_brand,name,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
will,75,70,english_frequency,english_or_code_switch,auxiliary,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
now,69,69,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
they,77,69,english_frequency,english_or_code_switch,pronoun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
have,68,68,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
all,67,66,english_frequency,english_or_code_switch,function,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
aya,67,65,english_frequency,shona_content,demonstrative,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
it's,65,64,english_frequency,english_or_code_switch,auxiliary,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
like,66,64,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
with,65,63,english_frequency,english_or_code_switch,preposition,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
