token,count,len,noise_reason,label,review_flag,document_support,candidate_source,extra_filter_reason,candidate_status
-chikamu,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
aagh,4,4,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
aahh,5,4,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
abatwa,3,6,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
abva,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achahwina,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achaita,5,7,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
achatora,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
achi,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achida,7,6,,shona_candidate,,7,deterministic,,candidate_missing_from_base_lexicon
achinge,3,7,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achinyora,3,9,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achinzi,4,7,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
achiri,17,6,,shona_candidate,,16,deterministic,,candidate_missing_from_base_lexicon
achirova,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achitamba,4,9,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
achiti,14,6,,shona_candidate,,14,deterministic,,candidate_missing_from_base_lexicon
achitora,3,8,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
achiudza,4,8,,shona_candidate,,4,deterministic,,candidate_missing_from_base_lexicon
acho,23,4,,shona_candidate,,21,deterministic,,candidate_missing_from_base_lexicon
adii,3,4,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
adonha,6,6,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
aenda,11,5,,shona_candidate,,11,deterministic,,candidate_missing_from_base_lexicon
aende,5,5,,shona_candidate,,5,deterministic,,candidate_missing_from_base_lexicon
afa,11,3,english_frequency,noise_rule,,11,rag_recovered,,candidate_missing_from_base_lexicon
afunga,6,6,,shona_candidate,,6,deterministic,,candidate_missing_from_base_lexicon
aibva,3,5,,shona_candidate,,3,deterministic,,candidate_missing_from_base_lexicon
