source_data_row_number_1_based,source_spreadsheet_row_number_1_based,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona,expanded_shona_class,expanded_shona,quarantine_reason,quarantine_decision,resource_lineage_status
3136,3137,Tshijila,Sainteté,,Positive,Mot,holiness,Ubungcwele,Heiligheid,Bokgethwa .,Ubungcwele,hutsvene,expanded_shona_lexicon,hutsvene,missing_score,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4013,4014,Binunubinayi,Quatremille,9.90909090909091,Positive,Nombre,quatremille,Quatremille,Quatremille,Quatremille .,IQuatmille,quatmille,expanded_shona_lexicon,quatmille,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4014,4015,Binunubisatu,Troismille,9.90909090909091,Positive,Nombre,troismille,I-troismlle,Troismille,T r o m i m i m l e l l e .,I-tromassille,troismille,expanded_shona_loanword,troismille,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4015,4016,Binunubitanu,Cinqmille,9.90909090909091,Positive,Nombre,five thousand,Izinkulungwane Eziyisihlanu,Vyfduisend,Dikete tše hlano .,Amawaka amahlanu,zviuru zvishanu,expanded_shona_lexicon,zviuru zvishanu,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4016,4017,Binunudikumi,Dixmille,9.90909090909091,Positive,Nombre,ten thousand,Izinkulungwane eziyishumi,Tienduisend,Dikete tše lesome,Amawaka alishumi,zviuru gumi,expanded_shona_lexicon,zviuru gumi,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4017,4018,Binunudikuminebibidi,Douzemille,9.90909090909091,Positive,Nombre,twelve thousand,Ishumi nambili,Twaalfduisend,dikete tše lesomepedi tše dikete tše lesomepedi .,Ishumi elinambini lamawaka,zviuru gumi nembiri,expanded_shona_alt,zviuru gumi nezviviri,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4018,4019,Binunumakumiabidi,Vingtmille,9.90909090909091,Positive,Nombre,twenty thousand,Izinkulungwane ezingamashumi amabili,Twintigduisend,Dikete tše Masomepedi .,Amashumi amabini amawaka,zviuru makumi maviri,expanded_shona_lexicon,zviuru makumi maviri,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4019,4020,Binunumakumiabidinebisatu,Vingt-troismille,9.90909090909091,Positive,Nombre,twenty-three thousand,Izinkulungwane ezingamashumi amabili nantathu,Drie-en-twintigduisend,Dikete tše masomepedi-tharo .,Amashumi amabini anesithathu amawaka,zviuru makumi maviri nezvitatu,expanded_shona_lexicon,zviuru makumi maviri nezvitatu,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4020,4021,"Bipendu,kupenda",Outrage,11.3636363636364,Positive,Mot,contempt,Ukudelela,Minagting,Lenyatšo,Ukudelela,kuzvidza,expanded_shona_lexicon,kuzvidza,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4021,4022,Bipia,Tresse,11.5454545454546,Positive,Mot,braided,-Ted,Gevleg,E logagantšwe .,Krazula,yakagadzirirwa,expanded_shona_alt,yakarukwa,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
4190,4191,Dikumi,Dix,10.0,Positive,Nombre,ten,Ishumi,Tien,Lesome,Shumi,gumi,expanded_shona_lexicon,gumi,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
5908,5909,Mukuatshibue(nedinanga),Animé,,,Mot,animated,Okwibizekile,Geanimeerde,Animated .,Iposti,animated,expanded_shona_loanword,animated,missing_score,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
5921,5922,Mukunamukese,Coteau,,,Mot,hill,Ummango,Heuwel,Mmoto,Induli,chikomo,expanded_shona_lexicon,chikomo,missing_score,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
5946,5947,Mulondo,Cruche,,Neutre,Mot,jug,Ijug,Kruik,Jug .,Jug,jug,expanded_shona_loanword,jug,missing_score,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
5958,5959,Mulumbuludi,Magistrat,,,Mot,magistrate,Imantshi,Landdros,Mmakaseterata .,Umantyi,magistrate,expanded_shona_alt,mutongi,missing_score,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
6597,6598,Tshabungibe,Abondamment,88.0,PositiveouNeutre,Mot,abundantly,Kakhulu,Oorvloedig,ka bontši .,Kakhulu,zvakawanda,expanded_shona_lexicon,zvakawanda,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
6632,6633,TshidikatshiyiTshijiminaa,Impérissable,53.0,Positive,Mot,imperishable,Ukungabona lutho,Onverganklik,E sa senyegego .,I-inofrieble,isingarobvu,expanded_shona_alt,kusaparara,score_above_9,excluded_from_evaluation_ready_base,inherited_score_integrity_issue
