candidate_id,word,field,final_value,primary_method,comparison_method,validation_status
C001,vana,English,children,google_direct_shona,researcher_and_contextual_meanings,fresh_v2_machine_translation_or_documented_fallback
C001,vana,French,enfants,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C001,vana,Zulu,izingane,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C001,vana,Afrikaans,kinders,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C001,vana,Sepedi,bana,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C001,vana,Xhosa,abantwana,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C001,vana,CILUBA,mwana,gpt_frenchyluba_assisted,current_paper_frenchyluba_concept_evidence,gpt_lexicon_assisted_provisional
C001,vana,Nature,Nom,v2_researcher_word_type_mapping,existing_frenchyluba_nature_inventory,schema_compatible_researcher_word_type_mapping
C004,yekuroja,English,for rent,google_direct_shona,researcher_and_contextual_meanings,fresh_v2_machine_translation_or_documented_fallback
C004,yekuroja,French,à louer,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C004,yekuroja,Zulu,ngokuqashwa,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C004,yekuroja,Afrikaans,te huur,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C004,yekuroja,Sepedi,bakeng sa rente,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C004,yekuroja,Xhosa,yeyokuqesha,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C004,yekuroja,CILUBA,Kutumbisha,gpt_frenchyluba_assisted,current_paper_frenchyluba_concept_evidence,gpt_lexicon_assisted_provisional
C004,yekuroja,Nature,Adjectif,v2_researcher_word_type_mapping,existing_frenchyluba_nature_inventory,schema_compatible_researcher_word_type_mapping
C006,yekurara,English,to sleep,google_direct_shona,researcher_and_contextual_meanings,fresh_v2_machine_translation_or_documented_fallback
C006,yekurara,French,dormir,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C006,yekurara,Zulu,ukulala,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C006,yekurara,Afrikaans,om te slaap,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C006,yekurara,Sepedi,go robala,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C006,yekurara,Xhosa,ukulala,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C006,yekurara,CILUBA,kulala,gpt_frenchyluba_assisted,current_paper_frenchyluba_concept_evidence,gpt_lexicon_assisted_provisional
C006,yekurara,Nature,Verbe,v2_researcher_word_type_mapping,existing_frenchyluba_nature_inventory,schema_compatible_researcher_word_type_mapping
C007,kutengeswa,English,for sale,google_direct_shona,researcher_and_contextual_meanings,fresh_v2_machine_translation_or_documented_fallback
C007,kutengeswa,French,à vendre,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C007,kutengeswa,Zulu,iyathengiswa,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C007,kutengeswa,Afrikaans,te koop,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C007,kutengeswa,Sepedi,go rekišwa,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C007,kutengeswa,Xhosa,kwintengiso,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C007,kutengeswa,CILUBA,kupana,gpt_frenchyluba_assisted,current_paper_frenchyluba_concept_evidence,gpt_lexicon_assisted_provisional
C007,kutengeswa,Nature,Verbe,v2_researcher_word_type_mapping,existing_frenchyluba_nature_inventory,schema_compatible_researcher_word_type_mapping
C008,ndinoda,English,i love,google_direct_shona,researcher_and_contextual_meanings,fresh_v2_machine_translation_or_documented_fallback
C008,ndinoda,French,j'aime,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C008,ndinoda,Zulu,ngiyathanda,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C008,ndinoda,Afrikaans,ek is lief vir,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C008,ndinoda,Sepedi,ke rata,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C008,ndinoda,Xhosa,ndiyathanda,google_direct_shona,fresh_google_direct_vs_english_pivot,direct_and_pivot_agree
C008,ndinoda,CILUBA,dinanga,gpt_frenchyluba_assisted,current_paper_frenchyluba_concept_evidence,gpt_lexicon_assisted_provisional
C008,ndinoda,Nature,Verbe,v2_researcher_word_type_mapping,existing_frenchyluba_nature_inventory,schema_compatible_researcher_word_type_mapping
